,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
1290,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1291,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1292,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1293,158876,,Chinese,,58.304,8.4,9,tv,False
1294,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1295,117465,,Japanese,,62.392,10.0,4,tv,False
1296,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1297,208891,,Japanese,,59.825,8.667,3,tv,False
1298,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1299,82856,,English,,1108.646,8.488,8697,tv,False
1300,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1301,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1302,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1303,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1304,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1305,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1306,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1307,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1308,95558,,English,,64.625,8.0,8,tv,False
1309,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1310,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1311,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1312,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1313,158876,,Chinese,,58.304,8.4,9,tv,False
1314,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1315,117465,,Japanese,,62.392,10.0,4,tv,False
1316,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1317,208891,,Japanese,,59.825,8.667,3,tv,False
1318,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1319,82856,,English,,1108.646,8.488,8697,tv,False
1320,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1321,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1322,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
